767089.7146609944	734724.6846659606	702337.4932877363	669928.1091699259	637496.4894485701	605042.758346211	572568.5927707572	540075.2495738781	507561.8402347873	475027.0163672309	442472.25125356676	409899.80583091633	377310.76269018726	344706.037905714	312088.30427052855	279463.623068878	246847.2853977925	214247.1783371578	181718.22945623865	149408.58864137242	117525.32884331471	86444.45740597145	57498.55755488758	33018.15434395439	24492.524659446975
44212.14215525695	76909.60137038083	109796.39408212401	142702.76658553648	175628.6264119586	208573.92049917727	241538.5079443433	274522.29508964095	307525.1891821735	340547.09836090653	373587.93164387165	406647.59891560354	439726.0109148221	472823.0792223445	505938.71624922357	539072.8352251092	572225.350186827	605396.1759671657	638585.2281838749	671792.4232288597	705017.6782575792	738260.9111786287	771522.0406435245	804800.9860366583	838097.6674654398
866304.7484208732	899610.9024167396	932934.5434861652	966275.5945930808	999633.9793771836	1033009.6221450774	1066402.4478615776	1099812.3821411587	1133239.3512395562	1166683.2820455113	1200144.1020726494	1233621.7394515127	1267116.1229217043	1300627.181824196	1334154.8460937312	1367699.046251378	1401259.713397208	1434836.7792030738	1468430.175905525	1502039.8362988555	1535665.6937282155	1569307.6820828873	1602965.7357896415	1636639.7898062123	1670329.7796148623
1698297.754904459	1731993.4194361318	1765704.8171488156	1799431.8856089194	1833174.5628764066	1866932.7874989656	1900706.4985062578	1934495.6354042871	1968300.1381698311	2002119.9472449615	2035955.0035316644	2069805.2483865283	2103670.6236155224	2137551.071468845	2171446.53463586	2205356.956240109	2239282.2798343864	2273222.449395911	2307177.4093215475	2341147.10442312	2375131.479922763	2409130.481448383	2443144.0550291585	2477172.1470911237	2511214.7044527847
2538899.36597101	2572944.4798243577	2607003.890735873	2641077.5470914133	2675165.3976481464	2709267.3915305883	2743383.4782266365	2777513.6075837244	2811657.729804964	2845815.795445412	2879987.755408305	2914173.5609414484	2948373.163633549	2982586.5154106896	3016813.568532799	3051054.2755901944	3085308.5895001497	3119576.463503541	3153857.8511614967	3188152.7063521664	3222460.983267427	3256782.636409738	3291117.620588971	3325465.8909193054	3359827.4028161843
3387192.320917518	3421553.782940469	3455928.344489151	3490315.962187504	3524716.592945754	3559130.193957638	3593556.722697576	3627996.136917942	3662448.3946463405	3696913.4541829224	3731391.274097743	3765881.8132281397	3800385.0306761907	3834900.8858061098	3869429.3382417825	3903970.3478642567	3938523.8748093275	3973089.879465073	4007668.3224695027	4042259.164708184	4076862.3673119126	4111477.8916544234	4146105.6993501117	4180745.752251802	4215398.01244851
4242412.716050272	4277062.73174898	4311724.839589755	4346398.996195733	4381085.164832745	4415783.30898996	4450493.392377806	4485215.378925985	4519949.232781494	4554694.918306695	4589452.400077275	4624221.642880502	4659002.611713155	4693795.271779832	4728599.588490952	4763415.527461052	4798243.054506914	4833082.135645809	4867932.737093759	4902794.825263735	4937668.366764021	4972553.328396475	5007449.677154833	5042357.380223083	5077276.4049738115
5103915.114393407	5138829.979474006	5173756.060891087	5208693.326779962	5243641.745456489	5278601.285415533	5313571.915329456	5348553.604046625	5383546.3205899075	5418550.03415525	5453564.714110168	5488590.329992441	5523626.8515085345	5558674.248532313	5593732.49110363	5628801.549426944	5663881.393869978	5698971.9949624045	5734073.3233944755	5769185.350015724	5804308.045833703	5839441.382012682	5874585.329872377	5909739.860886675	5944904.946682467
5971145.576872864	6006304.854798343	6041474.5953065865	6076654.770645291	6111845.353209027	6147046.315538042	6182257.630317102	6217479.270374342	6252711.208680197	6287953.418346222	6323205.872624021	6358468.544904151	6393741.408715046	6429024.437721946	6464317.605725837	6499620.886662376	6534934.254600939	6570257.683743511	6605591.148423666	6640934.623105665	6676288.082383346	6711651.500979202	6747024.853743372	6782408.115652715	6817801.261809841
6843624.782542848	6879010.67720796	6914406.374709001	6949811.850660763	6985227.080799036	7020652.040979745	7056086.707178046	7091531.055487459	7126985.062118938	7162448.703400104	7197921.955774293	7233404.795799775	7268897.200148881	7304399.145607187	7339910.609072704	7375431.567555007	7410961.998174512	7446501.878161616	7482051.18485589	7517609.8957054	7553177.988265803	7588755.440199629	7624342.229275597	7659938.333367682	7695543.7304545455
